fiscal_year,direction,fund_code,fund_label,kan_code,kan_name,kou_code,kou_name,moku_code,moku_name,name_source,master_kan_code,master_kan_name,master_kou_code,master_kou_name,master_kind,master_basis
2018,expenditure,1,一般会計,1,,1,,1,,,1,議会費,,,,
2018,expenditure,1,一般会計,2,,1,,1,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,1,,2,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,1,,3,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,1,,4,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,1,,5,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,1,,6,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,1,,7,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,1,,8,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,1,,9,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,1,,10,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,1,,11,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,2,,1,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,2,,2,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,2,,3,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,3,,1,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,3,,2,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,4,,1,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,4,,2,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,4,,3,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,4,,4,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,5,,1,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,5,,2,,,2,総務費,,,,
2018,expenditure,1,一般会計,2,,6,,1,,,2,総務費,,,,
2018,expenditure,1,一般会計,3,,1,,1,,,3,民生費,,,,
2018,expenditure,1,一般会計,3,,1,,2,,,3,民生費,,,,
2018,expenditure,1,一般会計,3,,1,,3,,,3,民生費,,,,
2018,expenditure,1,一般会計,3,,1,,4,,,3,民生費,,,,
2018,expenditure,1,一般会計,3,,1,,5,,,3,民生費,,,,
2018,expenditure,1,一般会計,3,,1,,6,,,3,民生費,,,,
2018,expenditure,1,一般会計,3,,1,,7,,,3,民生費,,,,
2018,expenditure,1,一般会計,3,,1,,8,,,3,民生費,,,,
2018,expenditure,1,一般会計,3,,2,,1,,,3,民生費,,,,
2018,expenditure,1,一般会計,3,,2,,2,,,3,民生費,,,,
2018,expenditure,1,一般会計,3,,2,,3,,,3,民生費,,,,
2018,expenditure,1,一般会計,3,,2,,4,,,3,民生費,,,,
2018,expenditure,1,一般会計,3,,2,,5,,,3,民生費,,,,
2018,expenditure,1,一般会計,3,,2,,6,,,3,民生費,,,,
2018,expenditure,1,一般会計,3,,3,,1,,,3,民生費,,,,
2018,expenditure,1,一般会計,3,,3,,2,,,3,民生費,,,,
2018,expenditure,1,一般会計,4,,1,,1,,,4,衛生費,,,,
2018,expenditure,1,一般会計,4,,1,,2,,,4,衛生費,,,,
2018,expenditure,1,一般会計,4,,1,,3,,,4,衛生費,,,,
2018,expenditure,1,一般会計,4,,1,,4,,,4,衛生費,,,,
2018,expenditure,1,一般会計,4,,1,,5,,,4,衛生費,,,,
2018,expenditure,1,一般会計,4,,2,,1,,,4,衛生費,,,,
2018,expenditure,1,一般会計,4,,2,,2,,,4,衛生費,,,,
2018,expenditure,1,一般会計,4,,2,,3,,,4,衛生費,,,,
2018,expenditure,1,一般会計,4,,2,,4,,,4,衛生費,,,,
2018,expenditure,1,一般会計,5,,1,,1,,,5,労働費,,,,
2018,expenditure,1,一般会計,5,,2,,1,,,5,労働費,,,,
2018,expenditure,1,一般会計,6,,1,,1,,,6,農林水産業費,,,,
2018,expenditure,1,一般会計,6,,1,,2,,,6,農林水産業費,,,,
2018,expenditure,1,一般会計,6,,1,,3,,,6,農林水産業費,,,,
2018,expenditure,1,一般会計,6,,1,,4,,,6,農林水産業費,,,,
2018,expenditure,1,一般会計,7,,1,,1,,,7,商工費,,,,
2018,expenditure,1,一般会計,7,,1,,2,,,7,商工費,,,,
