budget_line_id,fiscal_year,phase_id,source_row,fund_code,fund_label,kan_code,kan_label,kou_code,kou_label,moku_code,moku_label,setsu_code,setsu_label,saisetsu_code,saisetsu_label,value,source_amount
132241:2021:revenue:approved:5615319c69546fac,2021,approved,2,"",一般会計,01,市税,01,市民税,01,個人,01,現年課税分,01,現年課税分,9715973000,9715973
132241:2021:revenue:approved:3ade88316bdbd10a,2021,approved,3,"",一般会計,01,市税,01,市民税,01,個人,02,滞納繰越分,01,滞納繰越分,107599000,107599
132241:2021:revenue:approved:48b1754c83db5b6e,2021,approved,4,"",一般会計,01,市税,01,市民税,02,法人,01,現年課税分,01,現年課税分,1255629000,1255629
132241:2021:revenue:approved:e2c9266c0433f3f9,2021,approved,5,"",一般会計,01,市税,01,市民税,02,法人,02,滞納繰越分,01,滞納繰越分,12830000,12830
132241:2021:revenue:approved:f10d12b47a1ecc8d,2021,approved,6,"",一般会計,01,市税,02,固定資産税,01,固定資産税,01,現年課税分,01,現年課税分,13385611000,13385611
132241:2021:revenue:approved:ec21aa7e7a148120,2021,approved,7,"",一般会計,01,市税,02,固定資産税,01,固定資産税,02,滞納繰越分,01,滞納繰越分,60535000,60535
132241:2021:revenue:approved:485d174d9f3a208c,2021,approved,8,"",一般会計,01,市税,02,固定資産税,02,国有資産等所在市町村交付金,01,現年課税分,01,現年課税分,197972000,197972
132241:2021:revenue:approved:b753f3dc8d7f334c,2021,approved,9,"",一般会計,01,市税,03,軽自動車税,01,種別割,01,現年課税分,01,現年課税分,124099000,124099
132241:2021:revenue:approved:7fd89e27cf882c08,2021,approved,10,"",一般会計,01,市税,03,軽自動車税,01,種別割,02,滞納繰越分,01,滞納繰越分,1339000,1339
132241:2021:revenue:approved:dbc5b192bbc35c0c,2021,approved,11,"",一般会計,01,市税,03,軽自動車税,02,環境性能割,01,現年課税分,01,現年課税分,5272000,5272
132241:2021:revenue:approved:7131dbda446c3d69,2021,approved,12,"",一般会計,01,市税,04,市たばこ税,01,市たばこ税,01,現年課税分,01,現年課税分,751961000,751961
132241:2021:revenue:approved:05f01cbe58ac0015,2021,approved,13,"",一般会計,01,市税,05,都市計画税,01,都市計画税,01,現年課税分,01,現年課税分,1702383000,1702383
132241:2021:revenue:approved:6c773df4e7292455,2021,approved,14,"",一般会計,01,市税,05,都市計画税,01,都市計画税,02,滞納繰越分,01,滞納繰越分,9491000,9491
